place_id,type,name,address,city,country,employee_id
1,store,Malmö Centrum,Södra Förstadsgatan 42,Malmö,Sweden,1
2,station,Malmö Hyllie Station,Arenagatan 10,Malmö,Sweden,2
3,store,Lund City,Bantorget 7,Lund,Sweden,3
4,store,Helsingborg Söder,Carl Krooks gata 18,Helsingborg,Sweden,4
5,station,Helsingborg C,Järnvägsgatan 13,Helsingborg,Sweden,5
6,store,Kristianstad,Västra Storgatan 31,Kristianstad,Sweden,6
7,store,Halmstad,Storgatan 21,Halmstad,Sweden,7
8,station,Halmstad Resecentrum,Stationsgatan 1,Halmstad,Sweden,8
9,store,Växjö,Storgatan 30,Växjö,Sweden,9
10,store,Kalmar,Norra Långgatan 16,Kalmar,Sweden,10
11,store,Jönköping,Östra Storgatan 12,Jönköping,Sweden,11
12,station,Jönköping C,Järnvägsgatan 10,Jönköping,Sweden,12
13,store,Göteborg Nordstan,Götgatan 14,Göteborg,Sweden,13
14,station,Göteborg C,Drottningtorget 5,Göteborg,Sweden,14
15,store,Borås,Allégatan 28,Borås,Sweden,15
16,store,Karlstad,Drottninggatan 24,Karlstad,Sweden,16
17,store,Örebro,Köpmangatan 15,Örebro,Sweden,17
18,store,Linköping,Storgatan 44,Linköping,Sweden,18
19,store,Norrköping,Drottninggatan 51,Norrköping,Sweden,19
20,store,Stockholm City,Vasagatan 22,Stockholm,Sweden,20
21,station,Stockholm Central,Centralplan 15,Stockholm,Sweden,21
22,store,Uppsala,Kungsgatan 38,Uppsala,Sweden,22
23,store,Gävle,Nygatan 26,Gävle,Sweden,23
24,store,Umeå,Rådhusesplanaden 8,Umeå,Sweden,24
25,station,Umeå Central,Järnvägsallén 6,Umeå,Sweden,25
26,store,Sundsvall,Storgatan 19,Sundsvall,Sweden,26
27,store,Luleå,Storgatan 36,Luleå,Sweden,27
28,store,Visby,Adelsgatan 11,Visby,Sweden,28
